3.260299999999999727e+02 1.290000000000000036e+00 6.165600000000000364e+03 2.700000000000000178e+00
5.162200000000000273e+02 1.540000000000000036e+00 3.337070000000000164e+03 1.800000000000000044e+00
1.858400000000000034e+02 8.299999999999999600e-01 1.525500000000000000e+03 2.200000000000000178e+00
1.766410000000000082e+03 2.830000000000000071e+00 1.541467769999999973e+03 9.699999999999999734e-01
7.994500000000000455e+02 1.675999999999999934e+00 5.568353700000000117e+02 9.799999999999999822e-01
9.932999999999999545e+02 2.600000000000000089e+00 3.273500000000000000e+03 2.299999999999999822e+00
3.035060000000000002e+01 1.900000000000000022e-01 2.892253000000000043e+02 9.899999999999999911e-01
4.528000000000000114e+02 1.332999999999999963e+00 6.324600000000000364e+02 1.540000000000000036e+00
8.830000000000000000e+02 2.080000000000000071e+00 2.733199999999999932e+02 1.540000000000000036e+00
4.160000000000000000e+02 9.200000000000000400e-01 6.038769999999999527e+02 4.799999999999999822e-01
3.351000000000000227e+02 9.949999999999999956e-01 3.140030000000000200e+03 1.159999999999999920e+00
2.693000000000000114e+02 8.699999999999999956e-01 2.256500000000000000e+03 1.229999999999999982e+00
4.791000000000000227e+02 1.189999999999999947e+00 1.233130000000000109e+03 9.799999999999999822e-01
1.076599999999999909e+03 2.059000000000000163e+00 7.748656600000000481e+02 1.010000000000000009e+00
2.287000000000000000e+03 3.403999999999999915e+00 1.579607200000000091e+02 1.010000000000000009e+00
4.230785000000000018e+00 5.269999999999999685e-02 1.500089999999999861e+02 1.030000000000000027e+00
1.465160000000000018e+01 1.134000000000000008e-01 2.554000000000000057e+02 9.100000000000000311e-01
4.438000000000000256e+01 2.369999999999999885e-01 5.243999999999999773e+01 9.000000000000000222e-01
